"AUTHOR NAME","number of documents"
"Pauly, D.",18
"Cheung, W.W.L.",14
"Coll, M.",10
"Grüss, A.",9
"Tsikliras, A.C.",8
"Christensen, V.",7
"Katsanevakis, S.",7
"Palomares, M.L.D.",7
"Ainsworth, C.H.",6
"Babcock, E.A.",6
"Coro, G.",6
"Libralato, S.",6
"Bustamante, P.",5
"Dimarchopoulou, D.",5
"Halpern, B.S.",5
"Kaschner, K.",5
"Tai, T.C.",5
"Tarnecki, J.H.",5
"Chouvelon, T.",4
"Froehlich, H.E.",4
"Kesner-Reyes, K.",4
"Kopp, D.",4
"Luque, G.M.",4
"Melnychuk, M.C.",4
"Navarro, J.",4
"Pennino, M.G.",4
"Piroddi, C.",4
"Reygondeau, G.",4
"Scarcella, G.",4
"Shin, Y.J.",4
"Spitz, J.",4
"Steenbeek, J.",4
"Sumaila, U.R.",4
"Armani, A.",3
"Bodin, N.",3
"Cabral, H.N.",3
"Cabral, R.B.",3
"Caurant, F.",3
"Costa, L.L.",3
"Crowder, L.B.",3
"Donlan, C.J.",3
"Friedlander, A.M.",3
"Gaines, S.D.",3
"Gascuel, D.",3
"Gerovasileiou, V.",3
"Heymans, J.J.",3
"Jutagate, T.",3
"Keramidas, I.",3
"Lejeune, B.",3
"Maiorano, P.",3
"Mehault, S.",3
"Mouchet, M.A.",3
"Mouillot, D.",3
"Moutopoulos, D.K.",3
"Nadiarti, N.",3
"Parma, A.M.",3
"Pranovi, F.",3
"Primicerio, R.",3
"Raicevich, S.",3
"Ricci, P.",3
"Sagarese, S.R.",3
"Sorongon-Yap, P.",3
"Sutton, T.T.",3
"Thorson, J.T.",3
"Tiralongo, F.",3
"Zalmon, I.R.",3
"Zeller, D.",3
"Abdelkefi, A.",2
"Adamidou, A.",2
"Al-Abri, N.",2
"Al-Shajibi, S.",2
"Angelini, S.",2
"Archambault, P.",2
"Arias-Hansen, J.",2
"Armelloni, E.N.",2
"Aschan, M.",2
"Assis, J.",2
"Attrill, M.J.",2
"Aydin, C.",2
"Bailly, N.",2
"Bithell, M.",2
"Blanchet, M.A.",2
"Blettery, J.",2
"Borland, H.P.",2
"Borrell, Y.J.",2
"Bradley, D.",2
"Buszowski, J.",2
"Calderon, E.N.",2
"Calò, A.",2
"Carlucci, R.",2
"Chagaris, D.D.",2
"Chappuis, A.",2
"Chartosia, N.",2
"Chesalin, M.",2
"Chintiroglou, C.C.",2
"Cipriano, G.",2
"Cisneros-Montemayor, A.M.",2
"Colaço, A.",2
"Corrales, X.",2
"Corsini-Foka, M.",2
"Costello, C.",2
"Cottrell, R.S.",2
"Couce Montero, L.",2
"Crocetta, F.",2
"Deng Palomares, M.L.",2
"Di Beneditto, A.P.M.",2
"Di Franco, A.",2
"Dimitriadis, C.",2
"Dinouli, A.",2
"Drexler, M.",2
"Drexler, M.D.",2
"Duke, N.C.",2
"Díaz, J.M.",2
"Essington, T.E.",2
"Fernández-Corredor, E.",2
"Fiorentino, F.",2
"Fortibuoni, T.",2
"Fragkopoulou, E.",2
"Froese, R.",2
"Gal, G.",2
"Garilao, C.",2
"Gasalla, M.A.",2
"Gephart, J.A.",2
"Gilby, B.L.",2
"Giusti, A.",2
"Goodell, W.",2
"Gousseau, Y.",2
"Govinden, R.",2
"Green, S.J.",2
"Guidetti, P.",2
"Halouani, G.",2
"Hamli, H.",2
"Hardy, N.A.",2
"Hasan, M.R.",2
"Henderson, C.J.",2
"Heppell, S.S.",2
"Hidalgo, M.",2
"Hoover, C.",2
"Hossain, M.Y.",2
"Idris, M.H.",2
"Issaris, Y.",2
"Izquierdo-Gomez, D.",2
"Jensen, O.P.",2
"Ji, Y.",2
"Jones, M.C.",2
"Kamal, A.H.M.",2
"Karachle, P.K.",2
"Kavadas, S.",2
"Kinch, J.",2
"Kleitou, P.",2
"Kuempel, C.D.",2
"Laux, M.",2
"Link, J.S.",2
"Lopes, L.S.",2
"Madeira, D.",2
"Magurran, A.E.",2
"Mamun, A.A.",2
"Martell, S.J.D.",2
"Martin, A.",2
"Masnadi, F.",2
