"COUNTRY/TERRITORY","number of documents"
"United States",80
"Canada",63
"Spain",50
"France",48
"United Kingdom",46
"Italy",44
"Australia",42
"Greece",30
"Brazil",29
"Portugal",20
"Germany",18
"Philippines",18
"India",17
"Indonesia",17
"China",16
"Turkey",16
"Norway",15
"Denmark",13
"Japan",11
"South Africa",11
"Argentina",8
"Bangladesh",8
"Belgium",8
"Mexico",8
"Netherlands",8
"Israel",7
"Malaysia",7
"Egypt",6
"Sweden",6
"Colombia",5
"Cyprus",5
"Hungary",5
"Saudi Arabia",5
"Switzerland",5
"Thailand",5
"Croatia",4
"Ireland",4
"Russian Federation",4
"Austria",3
"Bulgaria",3
"Chile",3
"Ecuador",3
"Finland",3
"Iceland",3
"Iran",3
"New Zealand",3
"Poland",3
"Seychelles",3
"Slovenia",3
"Taiwan",3
"Viet Nam",3
"Czech Republic",2
"Faroe Islands",2
"Kenya",2
"Kuwait",2
"Malta",2
"Oman",2
"Peru",2
"Romania",2
"South Korea",2
"Sri Lanka",2
"Tunisia",2
"Algeria",1
"Brunei Darussalam",1
"Cape Verde",1
"Falkland Islands (Malvinas)",1
"Guinea-Bissau",1
"Hong Kong",1
"Kazakhstan",1
"Lebanon",1
"Marshall Islands",1
"Mauritania",1
"Monaco",1
"Morocco",1
"New Caledonia",1
"Papua New Guinea",1
"Puerto Rico",1
"Qatar",1
"Singapore",1
"Solomon Islands",1
"Syrian Arab Republic",1
"Uruguay",1
"Venezuela",1
"Undefined",2
